CAMPAIGN_ID,CAMPAIGN_NAME,START_DATE,END_DATE,BUDGET,CHANNEL,STATUS,TARGET_AUDIENCE,CREATED_AT
104,Seasonal Promotion 19,2024-01-20,2024-02-09,82375.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
105,Seasonal Promotion 20,2024-01-21,2024-02-11,27128.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
106,Seasonal Promotion 21,2024-01-22,2024-02-13,66927.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
107,Seasonal Promotion 22,2024-01-23,2024-02-15,79740.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
108,Seasonal Promotion 23,2024-01-24,2024-02-17,44627.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
109,Seasonal Promotion 24,2024-01-25,2024-02-19,46324.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
110,Seasonal Promotion 25,2024-01-26,2024-02-21,26917.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
111,Seasonal Promotion 26,2024-01-27,2024-02-23,24989.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
112,Seasonal Promotion 27,2024-01-28,2024-02-25,90320.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
113,Seasonal Promotion 28,2024-01-29,2024-02-27,54943.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
114,Seasonal Promotion 29,2024-01-30,2024-02-29,37244.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
115,Seasonal Promotion 30,2024-01-31,2024-02-01,30031.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
116,Seasonal Promotion 31,2024-02-01,2024-02-03,56003.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
117,Seasonal Promotion 32,2024-02-02,2024-02-05,99871.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
118,Seasonal Promotion 33,2024-02-03,2024-02-07,89886.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
119,Seasonal Promotion 34,2024-02-04,2024-02-09,87272.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
120,Seasonal Promotion 35,2024-02-05,2024-02-11,55754.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
121,Seasonal Promotion 36,2024-02-06,2024-02-13,53315.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
122,Seasonal Promotion 37,2024-02-07,2024-02-15,33995.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
123,Seasonal Promotion 38,2024-02-08,2024-02-17,38199.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
124,Seasonal Promotion 39,2024-02-09,2024-02-19,10277.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
125,Seasonal Promotion 40,2024-02-10,2024-02-21,78856.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
126,Seasonal Promotion 41,2024-02-11,2024-02-23,94511.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
127,Seasonal Promotion 42,2024-02-12,2024-02-25,24017.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
128,Seasonal Promotion 43,2024-02-13,2024-02-27,81386.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
129,Seasonal Promotion 44,2024-02-14,2024-02-29,50528.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
130,Seasonal Promotion 45,2024-02-15,2024-03-02,84395.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
131,Seasonal Promotion 46,2024-02-16,2024-03-04,62581.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
132,Seasonal Promotion 47,2024-02-17,2024-03-06,63166.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
133,Seasonal Promotion 48,2024-02-18,2024-03-08,62132.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
134,Seasonal Promotion 49,2024-02-19,2024-03-10,55442.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
135,Seasonal Promotion 50,2024-02-20,2024-03-12,91925.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
136,Seasonal Promotion 51,2024-02-21,2024-03-14,29075.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
137,Seasonal Promotion 52,2024-02-22,2024-03-16,64924.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
138,Seasonal Promotion 53,2024-02-23,2024-03-18,59627.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
139,Seasonal Promotion 54,2024-02-24,2024-03-20,27770.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
140,Seasonal Promotion 55,2024-02-25,2024-03-22,77174.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
141,Seasonal Promotion 56,2024-02-26,2024-03-24,44965.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
142,Seasonal Promotion 57,2024-02-27,2024-03-26,14018.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
143,Seasonal Promotion 58,2024-02-28,2024-03-28,62924.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
144,Seasonal Promotion 59,2024-02-29,2024-03-30,13436.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
145,Seasonal Promotion 60,2024-03-01,2024-03-02,23120.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
146,Seasonal Promotion 61,2024-03-02,2024-03-04,82542.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
147,Seasonal Promotion 62,2024-03-03,2024-03-06,71666.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
148,Seasonal Promotion 63,2024-03-04,2024-03-08,35680.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
149,Seasonal Promotion 64,2024-03-05,2024-03-10,89056.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
150,Seasonal Promotion 65,2024-03-06,2024-03-12,89720.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
151,Seasonal Promotion 66,2024-03-07,2024-03-14,29357.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
152,Seasonal Promotion 67,2024-03-08,2024-03-16,75845.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
153,Seasonal Promotion 68,2024-03-09,2024-03-18,65456.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
154,Seasonal Promotion 69,2024-03-10,2024-03-20,92802.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
155,Seasonal Promotion 70,2024-03-11,2024-03-22,89944.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
156,Seasonal Promotion 71,2024-03-12,2024-03-24,44881.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
157,Seasonal Promotion 72,2024-03-13,2024-03-26,58576.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
158,Seasonal Promotion 73,2024-03-14,2024-03-28,89038.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
159,Seasonal Promotion 74,2024-03-15,2024-03-30,38135.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
160,Seasonal Promotion 75,2024-03-16,2024-04-01,22453.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
161,Seasonal Promotion 76,2024-03-17,2024-04-03,85336.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
162,Seasonal Promotion 77,2024-03-18,2024-04-05,73832.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
163,Seasonal Promotion 78,2024-03-19,2024-04-07,53086.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
164,Seasonal Promotion 79,2024-03-20,2024-04-09,80627.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
165,Seasonal Promotion 80,2024-03-21,2024-04-11,92045.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
166,Seasonal Promotion 81,2024-03-22,2024-04-13,20600.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
167,Seasonal Promotion 82,2024-03-23,2024-04-15,22650.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
168,Seasonal Promotion 83,2024-03-24,2024-04-17,61497.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
169,Seasonal Promotion 84,2024-03-25,2024-04-19,89397.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
170,Seasonal Promotion 85,2024-03-26,2024-04-21,33718.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
171,Seasonal Promotion 86,2024-03-27,2024-04-23,84464.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
172,Seasonal Promotion 87,2024-03-28,2024-04-25,58060.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
173,Seasonal Promotion 88,2024-03-29,2024-04-27,92755.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
174,Seasonal Promotion 89,2024-03-30,2024-04-29,21502.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
175,Seasonal Promotion 90,2024-03-31,2024-04-01,14741.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
176,Seasonal Promotion 91,2024-04-01,2024-04-03,15897.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
177,Seasonal Promotion 92,2024-04-02,2024-04-05,30392.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
178,Seasonal Promotion 93,2024-04-03,2024-04-07,12897.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
179,Seasonal Promotion 94,2024-04-04,2024-04-09,80175.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
180,Seasonal Promotion 95,2024-04-05,2024-04-11,54511.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
181,Seasonal Promotion 96,2024-04-06,2024-04-13,59735.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
182,Seasonal Promotion 97,2024-04-07,2024-04-15,62491.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
183,Seasonal Promotion 98,2024-04-08,2024-04-17,26160.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
184,Seasonal Promotion 99,2024-04-09,2024-04-19,94815.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
185,Seasonal Promotion 100,2024-04-10,2024-04-21,73513.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
186,Seasonal Promotion 101,2024-04-11,2024-04-23,35148.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
187,Seasonal Promotion 102,2024-04-12,2024-04-25,54322.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
188,Seasonal Promotion 103,2024-04-13,2024-04-27,65852.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
189,Seasonal Promotion 104,2024-04-14,2024-04-29,12058.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
190,Seasonal Promotion 105,2024-04-15,2024-05-01,48830.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
191,Seasonal Promotion 106,2024-04-16,2024-05-03,40100.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
192,Seasonal Promotion 107,2024-04-17,2024-05-05,67145.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
193,Seasonal Promotion 108,2024-04-18,2024-05-07,54844.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
194,Seasonal Promotion 109,2024-04-19,2024-05-09,72686.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
195,Seasonal Promotion 110,2024-04-20,2024-05-11,34539.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
196,Seasonal Promotion 111,2024-04-21,2024-05-13,89275.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
197,Seasonal Promotion 112,2024-04-22,2024-05-15,68958.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
198,Seasonal Promotion 113,2024-04-23,2024-05-17,24945.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
199,Seasonal Promotion 114,2024-04-24,2024-05-19,17862.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
200,Seasonal Promotion 115,2024-04-25,2024-05-21,84596.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
201,Seasonal Promotion 116,2024-04-26,2024-05-23,36394.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
202,Seasonal Promotion 117,2024-04-27,2024-05-25,39421.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
203,Seasonal Promotion 118,2024-04-28,2024-05-27,43360.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
204,Seasonal Promotion 119,2024-04-29,2024-05-29,76509.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
205,Seasonal Promotion 120,2024-04-30,2024-05-01,43812.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
206,Seasonal Promotion 121,2024-05-01,2024-05-03,96558.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
207,Seasonal Promotion 122,2024-05-02,2024-05-05,83317.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
208,Seasonal Promotion 123,2024-05-03,2024-05-07,82284.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
209,Seasonal Promotion 124,2024-05-04,2024-05-09,81563.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
210,Seasonal Promotion 125,2024-05-05,2024-05-11,68311.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
211,Seasonal Promotion 126,2024-05-06,2024-05-13,64808.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
212,Seasonal Promotion 127,2024-05-07,2024-05-15,23721.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
213,Seasonal Promotion 128,2024-05-08,2024-05-17,13157.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
214,Seasonal Promotion 129,2024-05-09,2024-05-19,97118.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
215,Seasonal Promotion 130,2024-05-10,2024-05-21,11616.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
216,Seasonal Promotion 131,2024-05-11,2024-05-23,48202.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
217,Seasonal Promotion 132,2024-05-12,2024-05-25,45899.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
218,Seasonal Promotion 133,2024-05-13,2024-05-27,83222.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
219,Seasonal Promotion 134,2024-05-14,2024-05-29,77664.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
220,Seasonal Promotion 135,2024-05-15,2024-05-31,98762.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
221,Seasonal Promotion 136,2024-05-16,2024-06-02,98330.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
222,Seasonal Promotion 137,2024-05-17,2024-06-04,68011.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
223,Seasonal Promotion 138,2024-05-18,2024-06-06,95801.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
224,Seasonal Promotion 139,2024-05-19,2024-06-08,43067.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
225,Seasonal Promotion 140,2024-05-20,2024-06-10,33783.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
226,Seasonal Promotion 141,2024-05-21,2024-06-12,22438.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
227,Seasonal Promotion 142,2024-05-22,2024-06-14,77690.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
228,Seasonal Promotion 143,2024-05-23,2024-06-16,85253.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
229,Seasonal Promotion 144,2024-05-24,2024-06-18,50419.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
230,Seasonal Promotion 145,2024-05-25,2024-06-20,35863.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
231,Seasonal Promotion 146,2024-05-26,2024-06-22,64595.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
232,Seasonal Promotion 147,2024-05-27,2024-06-24,59818.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
233,Seasonal Promotion 148,2024-05-28,2024-06-26,53640.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
234,Seasonal Promotion 149,2024-05-29,2024-06-28,45297.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
235,Seasonal Promotion 150,2024-05-30,2024-05-31,69744.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
236,Seasonal Promotion 151,2024-05-31,2024-06-02,43249.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
237,Seasonal Promotion 152,2024-06-01,2024-06-04,10591.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
238,Seasonal Promotion 153,2024-06-02,2024-06-06,40932.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
239,Seasonal Promotion 154,2024-06-03,2024-06-08,40398.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
240,Seasonal Promotion 155,2024-06-04,2024-06-10,75106.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
241,Seasonal Promotion 156,2024-06-05,2024-06-12,59814.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
242,Seasonal Promotion 157,2024-06-06,2024-06-14,86594.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
243,Seasonal Promotion 158,2024-06-07,2024-06-16,27725.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
244,Seasonal Promotion 159,2024-06-08,2024-06-18,18729.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
245,Seasonal Promotion 160,2024-06-09,2024-06-20,49941.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
246,Seasonal Promotion 161,2024-06-10,2024-06-22,46142.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
247,Seasonal Promotion 162,2024-06-11,2024-06-24,92409.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
248,Seasonal Promotion 163,2024-06-12,2024-06-26,31252.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
249,Seasonal Promotion 164,2024-06-13,2024-06-28,29185.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
250,Seasonal Promotion 165,2024-06-14,2024-06-30,25604.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
251,Seasonal Promotion 166,2024-06-15,2024-07-02,95846.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
252,Seasonal Promotion 167,2024-06-16,2024-07-04,67480.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
253,Seasonal Promotion 168,2024-06-17,2024-07-06,24701.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
254,Seasonal Promotion 169,2024-06-18,2024-07-08,95159.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
255,Seasonal Promotion 170,2024-06-19,2024-07-10,21000.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
256,Seasonal Promotion 171,2024-06-20,2024-07-12,34638.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
257,Seasonal Promotion 172,2024-06-21,2024-07-14,61964.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
258,Seasonal Promotion 173,2024-06-22,2024-07-16,94503.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
259,Seasonal Promotion 174,2024-06-23,2024-07-18,95639.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
260,Seasonal Promotion 175,2024-06-24,2024-07-20,36428.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
261,Seasonal Promotion 176,2024-06-25,2024-07-22,92409.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
262,Seasonal Promotion 177,2024-06-26,2024-07-24,87937.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
263,Seasonal Promotion 178,2024-06-27,2024-07-26,68068.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
264,Seasonal Promotion 179,2024-06-28,2024-07-28,55256.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
265,Seasonal Promotion 180,2024-06-29,2024-06-30,36472.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
266,Seasonal Promotion 181,2024-06-30,2024-07-02,56364.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
267,Seasonal Promotion 182,2024-07-01,2024-07-04,86430.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
268,Seasonal Promotion 183,2024-07-02,2024-07-06,85119.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
269,Seasonal Promotion 184,2024-07-03,2024-07-08,29628.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
270,Seasonal Promotion 185,2024-07-04,2024-07-10,15427.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
271,Seasonal Promotion 186,2024-07-05,2024-07-12,10962.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
272,Seasonal Promotion 187,2024-07-06,2024-07-14,90194.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
273,Seasonal Promotion 188,2024-07-07,2024-07-16,25333.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
274,Seasonal Promotion 189,2024-07-08,2024-07-18,94542.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
275,Seasonal Promotion 190,2024-07-09,2024-07-20,30070.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
276,Seasonal Promotion 191,2024-07-10,2024-07-22,37551.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
277,Seasonal Promotion 192,2024-07-11,2024-07-24,25550.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
278,Seasonal Promotion 193,2024-07-12,2024-07-26,95831.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
279,Seasonal Promotion 194,2024-07-13,2024-07-28,36238.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
280,Seasonal Promotion 195,2024-07-14,2024-07-30,27944.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
281,Seasonal Promotion 196,2024-07-15,2024-08-01,12610.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
282,Seasonal Promotion 197,2024-07-16,2024-08-03,38951.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
283,Seasonal Promotion 198,2024-07-17,2024-08-05,48019.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
284,Seasonal Promotion 199,2024-07-18,2024-08-07,88087.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
285,Seasonal Promotion 200,2024-07-19,2024-08-09,75273.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
286,Seasonal Promotion 201,2024-07-20,2024-08-11,46863.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
287,Seasonal Promotion 202,2024-07-21,2024-08-13,68317.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
288,Seasonal Promotion 203,2024-07-22,2024-08-15,39858.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
289,Seasonal Promotion 204,2024-07-23,2024-08-17,76090.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
290,Seasonal Promotion 205,2024-07-24,2024-08-19,33634.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
291,Seasonal Promotion 206,2024-07-25,2024-08-21,54538.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
292,Seasonal Promotion 207,2024-07-26,2024-08-23,67657.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
293,Seasonal Promotion 208,2024-07-27,2024-08-25,33906.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
294,Seasonal Promotion 209,2024-07-28,2024-08-27,95347.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
295,Seasonal Promotion 210,2024-07-29,2024-07-30,88212.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
296,Seasonal Promotion 211,2024-07-30,2024-08-01,65003.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
297,Seasonal Promotion 212,2024-07-31,2024-08-03,66857.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
298,Seasonal Promotion 213,2024-08-01,2024-08-05,13155.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
299,Seasonal Promotion 214,2024-08-02,2024-08-07,17036.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
300,Seasonal Promotion 215,2024-08-03,2024-08-09,74017.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
301,Seasonal Promotion 216,2024-08-04,2024-08-11,97493.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
302,Seasonal Promotion 217,2024-08-05,2024-08-13,29520.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
303,Seasonal Promotion 218,2024-08-06,2024-08-15,31664.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
304,Seasonal Promotion 219,2024-08-07,2024-08-17,29623.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
305,Seasonal Promotion 220,2024-08-08,2024-08-19,67473.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
306,Seasonal Promotion 221,2024-08-09,2024-08-21,15643.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
307,Seasonal Promotion 222,2024-08-10,2024-08-23,88662.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
308,Seasonal Promotion 223,2024-08-11,2024-08-25,59667.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
309,Seasonal Promotion 224,2024-08-12,2024-08-27,42088.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
310,Seasonal Promotion 225,2024-08-13,2024-08-29,74267.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
311,Seasonal Promotion 226,2024-08-14,2024-08-31,95194.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
312,Seasonal Promotion 227,2024-08-15,2024-09-02,55159.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
313,Seasonal Promotion 228,2024-08-16,2024-09-04,19255.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
314,Seasonal Promotion 229,2024-08-17,2024-09-06,65631.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
315,Seasonal Promotion 230,2024-08-18,2024-09-08,67052.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
